"CODICE";"CODFIL";"DESFIL";"IND";"CITTA";"CAP";"TEL";"PR";"IVA_SEZ";"STATO";"";"";"";"";"";"";"";""
"23000011";"1";"VIA VIGNOLA 13/1";"OGGIONO";"LU";"23848";"";"";"";"";"";"";"";"";"";"";"";""
"15000050";"1";"CORSO ATELLANO";"SANT'ARPINO";"";"81030";"";"CE";"";"";"";"";"";"";"";"";"";""
"23000022";"1";"VIA FLACCA KM8,2";"FONDI";"FONDI";"04022";"";"";"";"";"";"";"";"";"";"";"";""
"15000291";"01";"VIA GIOVANNI AMATO N.45";"";"CASORIA";"80026";"";"NA";"";"";"";"";"";"";"";"";"";""
"15000244";"01";"VIA O.DE CARLUCCI,8";"";"MADDALONI";"81024";"";"CE";"";"";"";"";"";"";"";"";"";""
"15000093";"01";"VIA S.GIULIANO 234";"MARCIANISE";"MARCIANISE";"81025";"";"CE";"";"";"";"";"";"";"";"";"";""
"15000295";"01";"VIA CASTEL BELVEDERE 135";"";"SAN ROCCO MARANO";"80016";"";"NA";"";"";"";"";"";"";"";"";"";""
"15000295";"02";"VIA CUPA DEL CANE 13";"";"CHIAIANO DI NAPOLI";"80145";"";"NA";"";"";"";"";"";"";"";"";"";""
"15000354";"01";"VIA DE FRANCISCIS";"";"CASERTA";"81100";"";"CE";"";"";"";"";"";"";"";"";"";""
"15000360";"01";"VIA STAZIONE N.20";"";"MONDRAGONE";"81034";"";"CE";"";"";"";"";"";"";"";"";"";""
"15000360";"02";"VIA DE FONSECA,14";"";"GRUMO NEVANO";"80028";"";"NA";"";"";"";"";"";"";"";"";"";""
"15000360";"03";"VIA S.DI GIACOMO,188";"";"MELITO DI NAPOLI";"80017";"";"NA";"";"";"";"";"";"";"";"";"";""
"15000360";"04";"VIA GIOVANNI AMATO N.45";"";"CASORIA";"80026";"";"NA";"";"";"";"";"";"";"";"";"";""
"15000360";"05";"VIA CASTEL BELVEDERE N.135";"";"SAN ROCCO MARANO";"80016";"";"NA";"";"";"";"";"";"";"";"";"";""
"15000365";"01";"VIALE CARLO III";"";"SAN NICOLA LA STRADA";"81020";"";"CE";"";"";"";"";"";"";"";"";"";""
"15000365";"02";"VIA GALATINA";"";"SANTA MARIA CAPUA VETERE";"81055";"";"CE";"";"";"";"";"";"";"";"";"";""
"15000367";"02";"TR.VIA NAZ.APPIA COMP.EOS";"VIA AGOSTINO STELLATO";"SAN PRISCO";"81054";"";"CE";"";"";"";"";"";"";"";"";"";""
"15000368";"01";"SS SANNITICA 87 KM22600";"VIALE CARLO III";"CAPODRISE";"81020";"";"CE";"";"";"";"";"";"";"";"";"";""
"15000367";"03";"S.S SANNITICA 265 KM26500";"";"SAN MARCO EVANGELISTA";"81020";"";"24";"";"";"";"";"";"";"";"";"";""
"15000367";"01";"VIA NAZIONALE APPIA 61/63";"CASAPULLA";"CASAPULLA";"81020";"";"CE";"";"";"";"";"";"";"";"";"";""
"15000299";"02";"VIA R.MUSONE N.84";"MARCIANISE";"MARCIANISE";"81025";"";"CE";"";"";"";"";"";"";"";"";"";""
"15000299";"03";"VIALE GHANDY N.9";"MARCIANISE";"MARCIANISE";"81025";"";"CE";"";"";"";"";"";"";"";"";"";""
"15000291";"02";"VIA S.DI GIACOMO ,188";"";"MELITO DI NAPOLI";"80017";"";"NA";"";"";"";"";"";"";"";"";"";""
"15000392";"01";"VIA RAFFAELE VIVIANI N.15";"";"MADDALONI";"81024";"";"CE";"";"";"";"";"";"";"";"";"";""
"15000277";"01";"CARNI DI PALO SRL";"S.S 87 KM 7.710";"CASORIA";"80026";"";"NA";"";"";"";"";"";"";"";"";"";""
"23000036";"01";"VIA APPIA ANTICA";"SAN NICOLA LA STRADA";"CASERTA";"";"";"CE";"";"";"";"";"";"";"";"";"";""
"15000205";"01";"VIA MASSIMO STANZIONE 244/246";"";"FRATTAMAGGIORE";"80027";"";"NA";"";"";"";"";"";"";"";"";"";""
"15000460";"01";"VIA ROMA 282";"";"TEVEROLA";"81030";"";"CE";"";"";"";"";"";"";"";"";"";""
"15000360";"06";"VIA CUPA DEL CANE N.13";"";"CHIAIANO DI NAPOLI";"80145";"";"NA";"";"";"";"";"";"";"";"";"";""
"15000465";"01";"VIA STRETTOLA, 5";"";"CASALNUOVO DI NAPOLI";"80013";"";"NA";"";"";"";"";"";"";"";"";"";""
"15000459";"01";"VIA TAZZOLI N.19";"";"CASERTA";"";"";"CE";"";"";"";"";"";"";"";"";"";""
"15000367";"04";"PIAZZA GENERALE DALLA CHIESA N.15";"CASERTA";"CASERTA";"81100";"";"CE";"";"";"";"";"";"";"";"";"";""
"15000481";"01";"VIA VARIANTE SANNITICA N.32BIS";"";"VALLE DI MADDALONI";"";"";"CE";"";"";"";"";"";"";"";"";"";""
"15000271";"01";"CORSO ITALIA,108/108BIS";"";"MUGNANO DI NAPOLI";"80018";"";"NA";"";"";"";"";"";"";"";"";"";""
"15000433";"01";"VIA KENNEDY,174";"";"MARCIANISE";"81025";"";"CE";"";"";"";"";"";"";"";"";"";""
"15000500";"01";"VIA S.RAZZINO 27/29";"";"MONDRAGONE";"81034";"";"CE";"";"";"";"";"";"";"";"";"";""
"15000360";"07";"VIA SALVO D'ACQUISTO 20-28";"";"QUARTO";"80010";"";"NA";"";"";"";"";"";"";"";"";"";""
"15000506";"01";"VIA E.SCAGLIONE N.37";"";"NAPOLI";"80145";"";"NA";"";"";"";"";"";"";"";"";"";""
"15000506";"02";"VIA A.MORO N.39";"";"CALVIZZANO";"80012";"";"NA";"";"";"";"";"";"";"";"";"";""
"15000360";"08";"VIA GIOVANNI ANTONIO CAMPANO N.128";"";"NAPOLI";"80145";"";"NA";"";"";"";"";"";"";"";"";"";""
"15000487";"01";"VIA FILIPPO SAPORITO,55";"";"AVERSA";"81031";"";"CE";"";"";"";"";"";"";"";"";"";""
"15000487";"02";"VIA ARMANDO DIAZ,24";"";"AVERSA";"81031";"";"CE";"";"";"";"";"";"";"";"";"";""
"15000487";"03";"VIALE EUROPA ,35";"";"AVERSA";"81031";"";"44";"";"";"";"";"";"";"";"";"";""
"15000487";"04";"VIA ROMA,49";"";"TEVEROLA";"81030";"";"5C";"";"";"";"";"";"";"";"";"";""
"15000487";"05";"VIA SALVO D'ACQUISTO,154-182";"";"AVERSA";"81031";"";"CE";"";"";"";"";"";"";"";"";"";""
"23000044";"01";"VIA MANDOLOSSA,25";"";"GUSSAGO";"25064";"0309650345";"BS";"";"";"";"";"";"";"";"";"";""
"15000516";"01";"VIA NUOVA POGGIOREALE,159";"";"NAPOLI";"80143";"";"NA";"";"";"";"";"";"";"";"";"";""
"15000521";"01";"VIA PIETRO COLLETTA,89";"";"NAPOLI";"80138";"";"NA";"";"";"";"";"";"";"";"";"";""
"15000491";"02";"MACELLERIA CELOTTO CIRO";"VIA NAZIONALE N.111";"TORRE DEL GRECO";"80059";"";"NA";"";"";"";"";"";"";"";"";"";""
"15000465";"025";"SERVILLO COMMERCIO SRL";"VIA ARCORA, 100";"CASALNUOVO DI NAPOLI";"80013";"";"NA";"";"";"";"";"";"";"";"";"";""
"15000367";"02ù";"S.S SANNITICA 265 KM26500";"";"SAN MARCO EVANGELISTA";"81020";"";"CE";"";"";"";"";"";"";"";"";"";""
"15000491";"03";"SAGLIANO SRL";"CORSO ITALIA 263/265";"SAN MARCELLINO";"81030";"";"CE";"";"";"";"";"";"";"";"";"";""
"15000540";"01";"VIA PIETRO METASTASIO LOTTO C.";"";"FUORIGROTTA";"80124";"";"NA";"";"";"";"";"";"";"";"";"";""
"15000543";"01";"VIA ANTONIO SAVIANO N.32";"";"ARZANO";"80022";"";"NA";"";"";"";"";"";"";"";"";"";""
"15000431";"01";"CORSO MEDITERRANEO N.88";"MARANO DI NAPOLI";"MARANO DI NAPOLI";"80016";"";"NA";"";"";"";"";"";"";"";"";"";""
"15000549";"01";"VIA PRESIDIO N.26";"AVERSA";"AVERSA";"81031";"";"CE";"";"";"";"";"";"";"";"";"";""
"15000551";"01";"CARNI D'ELITE'";"CORSO EUROPA 77/79";"MARANO DI NAPOLI";"80016";"";"NA";"";"";"";"";"";"";"";"";"";""
"15000559";"01";"VIA CLANIO, 29";"VIA CLANIO,. 29";"ORTA DI ATELLA";"81030";"";"CE";"";"";"";"";"";"";"";"";"";""
"23000050";"01";"VIA LUIGI CADORNA,17";"";"CASAVATORE";"80020";"";"NA";"";"";"";"";"";"";"";"";"";""
"15000487";"035";"VIALE EUROPA ,35";"";"AVERSA";"81031";"";"CE";"";"";"";"";"";"";"";"";"";""
"15000572";"01";"";"VIALE EUROPA, 74";"CAPODRISE";"81025";"";"CE";"";"";"";"";"";"";"";"";"";""
"15000574";"01";"";"CORSO ITALIA,SNC";"CARDITO";"80024";"";"NA";"";"";"";"";"";"";"";"";"";""
"15000575";"01";"";"CORSO MEDITERRANEO, 33/35";"MARANO DI NAPOLI";"NA";"";"NA";"";"";"";"";"";"";"";"";"";""
"15000578";"01";"";"VIA BRONZI DI RIACE N.13";"PONTICELLI";"80147";"";"NA";"";"";"";"";"";"";"";"";"";""
"15000360";"09";"VIA FRANCESCO SPINELLI N.35";"";"NAPOLI";"80145";"";"NA";"";"";"";"";"";"";"";"";"";""
"15000584";"01";"VIA DELLE FOSSE N.4";"FORMIA";"FORMIA";"04023";"";"LT";"";"";"";"";"";"";"";"";"";""
"15000587";"01";"VIA SAN PAOLO BELSITO N.1";"";"NOLA";"80035";"";"NA";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
